"person_id","IOC_number","family_name","middle_name","first_name","height","weight","team","position","shoots_chatches","GWG_count","goals","assists","score"
3129539,"IHAUT11201200302","KROPIUNIG","","Ralf","182","79","Austria","GK","L",0,0,0,0
3128016,"IHAUT12405200201","SOMMER","","Leon","180","75","Austria","GK","L",0,0,0,0
3125905,"IHAUT10603200201","WRANESCHITZ","","Sebastian","182","82","Austria","GK","L",0,0,0,0
3129523,"IHAUT10304200301","HORL","","Lukas","186","85","Austria","D","R",0,0,0,0
3128024,"IHAUT10701200301","LINDNER","","Lorenz","182","88","Austria","D","R",0,0,0,0
3129524,"IHAUT12801200302","MITROVIC","","Matteo","190","82","Austria","D","L",0,0,0,0
3128018,"IHAUT10503200301","NECESANY","","Lukas","182","83","Austria","D","R",0,0,0,0
3129526,"IHAUT12510200401","REINBACHER","","David","189","85","Austria","D","R",0,0,0,0
3129527,"IHAUT11405200301","SABLATTNIG","","Tobias","183","79","Austria","D","L",0,0,0,0
3128019,"IHAUT12801200301","TIALLER","","Christoph","182","78","Austria","D","R",0,0,0,0
45130,"IHAUT10805200201","URBANEK","","Martin","173","77","Austria","D","R",0,0,0,0
3129533,"IHAUT11707200401","AUER","","Luca","187","81","Austria","F","L",0,0,0,0
3128020,"IHAUT11704200301","BOHM","","Mathias","190","88","Austria","F","L",0,0,0,0
3129535,"IHAUT12903200301","GEIFES","","Tim","187","80","Austria","F","L",0,0,0,0
3125988,"IHAUT12302200201","HENGELMULLER","","Maximilian","188","88","Austria","F","R",0,0,0,0
3128025,"IHAUT11103200301","KRAMER","","Nico","184","91","Austria","F","R",0,0,0,0
45277,"IHAUT10502200201","MAIER","","Oskar","178","76","Austria","F","L",0,0,0,0
3126908,"IHAUT11406200201","PEETERS","","Senna","185","87","Austria","F","R",0,1,2,3
3126000,"IHAUT10205200201","RAPPOLD","","Kilian","188","91","Austria","F","R",0,0,0,0
45254,"IHAUT12101200201","THALER","","Lucas","180","76","Austria","F","R",0,0,0,0
3129537,"IHAUT12103200401","TSCHURNIG","","Johannes","182","77","Austria","F","L",0,0,0,0
3128023,"IHAUT11201200301","VAN EE","","Finn","182","83","Austria","F","L",0,0,0,0
45276,"IHAUT10107200201","WALLNER","","Leon","185","87","Austria","F","R",0,1,2,3
3129538,"IHAUT10212200301","WERNICKE","","Janick","185","80","Austria","F","R",0,0,0,0
3132303,"IHAUT11604200301","WIELTSCHNIG","","Paolo","196","86","Austria","F","L",0,0,0,0
3126008,"IHAUT12501200201","MOSER","","Lukas","184","85","Austria","GK","L",0,0,0,0
3129540,"IHAUT12101200301","PFARRMAIER","","Thomas","179","70","Austria","GK","L",0,0,0,0
3129522,"IHAUT12601200401","ERNE","","Luca","190","95","Austria","D","R",0,0,0,0
3129525,"IHAUT11703200301","MUSSBACHER","","Mark","180","76","Austria","D","R",0,0,0,0
3129541,"IHAUT11206200301","PREIML","Ewald","Maximillian","187","86","Austria","D","R",0,0,0,0
3131625,"IHAUT10508200401","SOLLINGER","","Patrick","185","80","Austria","D","L",0,0,0,0
3129542,"IHAUT12402200301","VENIER","","Luca","192","79","Austria","D","L",0,0,0,0
3129534,"IHAUT12907200401","CERNIK","","David","176","73","Austria","F","L",0,0,0,0
3131621,"IHAUT10307200501","SCHERZER","","Ian","181","82","Austria","F","L",0,1,2,3
3129544,"IHAUT11003200401","DOBNIG","","Jonas","182","78","Austria","F","L",0,1,2,3
3131618,"IHAUT11209200401","PIUK","","Tobias","179","73","Austria","F","L",0,0,0,0
3129545,"IHAUT11102200401","LACKNER","","Moritz","193","91","Austria","F","R",0,0,0,0
3128324,"IHCAN11707200501","BEDARD","Thomas","Connor","175","82","Canada","F","R",0,4,8,12
3129687,"IHCAN10909200201","BROCHU","Thomas","Brett","180","79","Canada","GK","L",0,0,0,0
3126194,"IHCAN12703200201","CORMIER","","Lukas","178","80","Canada","D","L",0,1,2,3
3129688,"IHCAN12111200201","COSSA","Alexander","Sebastian","201","92","Canada","GK","L",0,0,0,0
3129697,"IHCAN10502200201","CUYLLE","Cyril","Will","191","95","Canada","F","L",1,2,4,6
3129699,"IHCAN12101200201","DESNOYERS","","Elliot","180","78","Canada","F","L",0,0,0,0
3132318,"IHCAN11801200202","FOERSTER","","Tyson","188","93","Canada","F","R",0,3,6,9
3126198,"IHCAN10706200201","GARAND","Carson","Dylan","185","81","Canada","GK","L",0,0,0,0
3132319,"IHCAN10611200301","GAUCHER","","Nathan","191","93","Canada","F","R",1,1,2,3
3129703,"IHCAN10808200201","GREIG","William","Ridly","180","75","Canada","F","L",1,3,6,9
3126203,"IHCAN11505200201","HUNT","Douglas","Daemon","184","88","Canada","D","L",0,0,0,0
3129704,"IHCAN11810200201","JOHNSON","","Kent","185","76","Canada","F","L",2,3,6,9
3132320,"IHCAN12503200301","KIDNEY","","Riley","180","78","Canada","F","L",0,0,0,0
3129692,"IHCAN11401200301","LAMBOS","Alexander","Carson","185","88","Canada","D","L",0,0,0,0
3128285,"IHCAN13001200301","MCTAVISH","","Mason","185","94","Canada","F","L",0,8,16,24
3129693,"IHCAN11605200201","O'ROURKE","Shayne","Ryan","185","78","Canada","D","L",0,0,0,0
3132321,"IHCAN12905200301","OSTAPCHUK","Austin","Zack","191","93","Canada","F","L",0,1,2,3
3128284,"IHCAN10501200301","OTHMANN","Gerhart","Brennan","183","79","Canada","F","L",0,2,4,6
3129706,"IHCAN10608200301","ROY","","Joshua","183","87","Canada","F","L",0,3,6,9
3129694,"IHCAN11201200201","SEBRANGO","Miguel","Donovan","185","91","Canada","D","L",0,0,0,0
3129695,"IHCAN10208200201","SEELEY","Patrick","Ronan","185","87","Canada","D","L",0,0,0,0
3129707,"IHCAN12403200201","SOURDIF","Alexander","Justin","180","83","Canada","F","R",0,0,0,0
3128280,"IHCAN12602200301","STANKOVEN","Harry Gust","Logan","173","77","Canada","F","R",1,4,8,12
3132322,"IHCAN11903200201","THOMPSON","","Jack","185","84","Canada","D","R",0,1,2,3
3128282,"IHCAN11009200301","ZELLWEGER","Andre","Olen","180","85","Canada","D","L",1,2,4,6
3129700,"IHCAN12801200201","DUFOUR","","William","191","93","Canada","F","R",0,3,6,9
3128321,"IHCAN11501200301","DEL MASTRO","","Ethan","193","95","Canada","D","L",0,0,0,0
3127043,"IHCZE11701200301","SVOZIL","","Stanislav","184","81","Czechia","D","L",0,1,2,3
3128132,"IHCZE11005200301","SEDIVY","","Jakub","186","89","Czechia","D","L",0,0,0,0
3128131,"IHCZE11802200301","SPACEK","","David","181","77","Czechia","D","R",0,0,0,0
3128142,"IHCZE11511200301","PINKAS","","Matej","188","86","Czechia","D","L",0,0,0,0
3128144,"IHCZE11809200301","MORAVEC","","David","183","83","Czechia","D","R",0,0,0,0
3128130,"IHCZE13001200301","TICHACEK","","Jiri","175","77","Czechia","D","L",0,0,0,0
3128084,"IHCZE12811200301","JIRICEK","","David","191","85","Czechia","D","R",0,0,0,0
3128129,"IHCZE10903200401","HAMARA","","Tomas","182","84","Czechia","D","L",0,0,0,0
3128152,"IHCZE10308200302","KRAL","","Daniel","184","72","Czechia","GK","L",0,0,0,0
3128156,"IHCZE12105200301","HAMRLA","","Patrik","188","86","Czechia","GK","L",0,0,0,0
3128136,"IHCZE13004200301","SUCHANEK","","Tomas","185","77","Czechia","GK","L",0,0,0,0
3125768,"IHCZE12608200201","BEDNAR","","Jan","193","84","Czechia","GK","L",0,0,0,0
3128139,"IHCZE10603200301","RYSAVY","","Martin","190","95","Czechia","F","L",0,2,4,6
3129557,"IHCZE12008200201","IVAN","","Ivan","180","78","Czechia","F","L",0,0,0,0
3128150,"IHCZE11404200401","KULICH","","Jiri","182","78","Czechia","F","L",0,2,4,6
3128153,"IHCZE13005200301","KOS","","Jakub","190","85","Czechia","F","L",0,0,0,0
3129582,"IHCZE11402200201","MALAT","","Sebastian","183","79","Czechia","F","L",0,0,0,0
3128155,"IHCZE12007200301","CHMELAR","","Jaroslav","194","90","Czechia","F","R",0,1,2,3
3124343,"IHCZE12406200201","MYSAK","","Jan","182","80","Czechia","F","L",0,5,10,15
3128135,"IHCZE12409200301","SZTURC","","Gabriel","179","80","Czechia","F","L",1,1,2,3
3128143,"IHCZE10407200301","PAJER","","Lukas","180","85","Czechia","F","R",0,0,0,0
